"","w1","w2","w3","w4","w5","w6","w7","w8","alpha1","alpha2","alpha3","alpha4"
"1",0.204228736184527,0.128784238346949,0.0896203748197982,0.155694377703027,0.164584334454589,0.0108121095627102,0.115329168668909,0.130946660259491,0.25,0.25,0.25,0.25
"2",0.151515151515152,0.0656565656565657,0.136363636363636,0.0931537598204265,0.140852974186308,0.00673400673400673,0.297418630751964,0.108305274971942,0.25,0.25,0.25,0.25
"3",0.139268680445151,0.0543720190779014,0.0368839427662957,0.146263910969793,0.0769475357710652,0.261367249602544,0.103338632750397,0.181558028616852,0.25,0.25,0.25,0.25
"4",0.083208769307424,0.0986547085201794,0.21898355754858,0.192077727952167,0.0956651718983558,0.170154459392128,0.0271549576482312,0.114100647732935,0.25,0.25,0.25,0.25
"5",0.209409267775027,0.0428015564202335,0.0328970640254687,0.0654403961796958,0.173328616908383,0.147506190307747,0.120622568093385,0.20799434029006,0.25,0.25,0.25,0.25
"6",0.0590200445434298,0.222995545657016,0.231347438752784,0.13641425389755,0.109409799554566,0.0247772828507795,0.0425946547884187,0.173440979955457,0.25,0.25,0.25,0.25
"7",0.215313338210193,0.175079248963667,0.217507924896367,0.0668129724457449,0.0380395025603511,0.0792489636673982,0.132162887100707,0.0758351621555718,0.25,0.25,0.25,0.25
"8",0.142931392931393,0.136174636174636,0.0982328482328482,0.00987525987525987,0.229989604989605,0.111486486486486,0.0654885654885655,0.205821205821206,0.25,0.25,0.25,0.25
"9",0.168805912096461,0.0528977051730844,0.0342279268767017,0.163360560093349,0.0902372617658499,0.214313496693893,0.0614546868922598,0.214702450408401,0.25,0.25,0.25,0.25
"10",0.102172636523782,0.242513211978861,0.246330005871991,0.0960070463887258,0.186729301233118,0.0469759248385203,0.037874339401057,0.041397533763946,0.25,0.25,0.25,0.25
"11",0.132282385195339,0.0243317340644277,0.253598355037697,0.0959561343385881,0.194653872515421,0.0832762165867032,0.00548320767649075,0.210418094585332,0.25,0.25,0.25,0.25
"12",0.039268788083954,0.30365605958023,0.0578876100203114,0.0751523358158429,0.0930941096817874,0.0771834800270819,0.108666215301286,0.245091401489506,0.25,0.25,0.25,0.25
"13",0.037280701754386,0.151589912280702,0.0575657894736842,0.228070175438596,0.143914473684211,0.109100877192982,0.0940241228070176,0.178453947368421,0.25,0.25,0.25,0.25
"14",0.170665047069541,0.14849681141816,0.119344063164288,0.0485879137564531,0.100516246583662,0.249924081384756,0.122684482235044,0.039781354388096,0.25,0.25,0.25,0.25
"15",0.141261171797418,0.151688182720953,0.131578947368421,0.05759682224429,0.216732869910626,0.161866931479643,0.0258192651439921,0.113455809334657,0.25,0.25,0.25,0.25
"16",0.280728964715006,0.217138425746413,0.0566110895696006,0.0403257076386196,0.206281504459093,0.132997285769678,0.0174486234974796,0.0484683986041101,0.25,0.25,0.25,0.25
"17",0.183940910173934,0.202525613533476,0.128901596378366,0.0338336907314749,0.0328806290207291,0.199904693828925,0.0288301167500596,0.189182749583036,0.25,0.25,0.25,0.25
"18",0.0970933828076685,0.0692640692640693,0.272727272727273,0.117501546072975,0.100185528756957,0.220470006184292,0.101113172541744,0.0216450216450216,0.25,0.25,0.25,0.25
"19",0.140801151355241,0.102662508994963,0.15735188294555,0.211801391220916,0.109138882225953,0.048213000719597,0.0664427920364596,0.163588390501319,0.25,0.25,0.25,0.25
"20",0.132092464725308,0.0780546382467728,0.0156109276493545,0.0489342539777845,0.186730711498049,0.0453317322125488,0.233563494446112,0.259681777244071,0.25,0.25,0.25,0.25
"21",0.0947182059604603,0.0551785187370906,0.0551785187370906,0.100914724107406,0.222484508704633,0.168781351431101,0.0407199763942166,0.262024195928002,0.25,0.25,0.25,0.25
"22",0.0833333333333333,0.203035509736541,0.200744558991982,0.120561282932417,0.183276059564719,0.169816723940435,0.0360824742268041,0.00315005727376861,0.25,0.25,0.25,0.25
"23",0.00614161849710983,0.0310693641618497,0.116690751445087,0.220375722543353,0.147760115606936,0.013728323699422,0.227601156069364,0.236632947976879,0.25,0.25,0.25,0.25
"24",0.214535901926445,0.208990075890251,0.18855808523059,0.146234676007005,0.0872737886748395,0.0259778166958552,0.000583771161704612,0.12784588441331,0.25,0.25,0.25,0.25
"25",0.215632754342432,0.0905707196029777,0.0727047146401985,0.00272952853598015,0.129528535980149,0.160545905707196,0.159305210918114,0.168982630272953,0.25,0.25,0.25,0.25
"26",0.207042253521127,0.177464788732394,0.134507042253521,0.173943661971831,0.132863849765258,0.0453051643192488,0.0678403755868545,0.0610328638497653,0.25,0.25,0.25,0.25
"27",0.109397247271001,0.0685809207403892,0.154959658281917,0.156146179401993,0.115804461319411,0.175842429995254,0.212624584717608,0.00664451827242525,0.25,0.25,0.25,0.25
"28",0.290278721957852,0.0159755268524813,0.247790618626785,0.0588035350101971,0.0710401087695445,0.11386811692726,0.141740312712441,0.0605030591434398,0.25,0.25,0.25,0.25
"29",0.18237749945067,0.181278839815425,0.021753460777851,0.119753900241705,0.121292023731048,0.0718523401450231,0.159964842891672,0.141727092946605,0.25,0.25,0.25,0.25
"30",0.0327027027027027,0.198648648648649,0.0813513513513514,0.225675675675676,0.0872972972972973,0.0410810810810811,0.164594594594595,0.168648648648649,0.25,0.25,0.25,0.25
"31",0.175772558714462,0.01557478368356,0.0810877626699629,0.164894932014833,0.118665018541409,0.0904820766378245,0.2,0.153522867737948,0.25,0.25,0.25,0.25
"32",0.22951825713409,0.0969622583614606,0.152500767106474,0.218471923903038,0.138692850567659,0.0506290273089905,0.0487879717704817,0.0644369438478061,0.25,0.25,0.25,0.25
"33",0.180561747659385,0.166963887650468,0.156041016495765,0.033883192153366,0.164288898796255,0.13464110566206,0.0824788230049042,0.0811413285777976,0.25,0.25,0.25,0.25
"34",0.0286774628879892,0.227395411605938,0.0745614035087719,0.123144399460189,0.145411605937922,0.0836707152496626,0.124493927125506,0.192645074224022,0.25,0.25,0.25,0.25
"35",0.00587172538392051,0.347786811201445,0.190605239385727,0.0505871725383921,0.0383920505871725,0.253839205058717,0.0677506775067751,0.04516711833785,0.25,0.25,0.25,0.25
