"","w_1_demanda_F","w_2_presion_F","w_3_stateInfra_F","w_4_necesidad_F","w_5_demanda_S","w_6_presion_S","w_7_stateInfra_S","w_6_necesidad_S","A_repair_F","A_new_F","A_repair_S","A_new_S"
"1",0.14828897338403,0.114068441064639,0,0.0684410646387833,0.182509505703422,0.0152091254752852,0.243346007604563,0.228136882129278,0.432835820895522,0.278606965174129,0.0497512437810945,0.238805970149254
"2",0.156746031746032,0.00793650793650794,0.119047619047619,0.170634920634921,0.170634920634921,0.128968253968254,0.113095238095238,0.132936507936508,0.194444444444444,0.0277777777777778,0.194444444444444,0.583333333333333
"3",0.168571428571429,0.208571428571429,0.157142857142857,0.00571428571428571,0.137142857142857,0.06,0.105714285714286,0.157142857142857,0.195238095238095,0.395238095238095,0.171428571428571,0.238095238095238
"4",0.158914728682171,0.0484496124031008,0.106589147286822,0.0813953488372093,0.155038759689922,0.164728682170543,0.155038759689922,0.12984496124031,0.072463768115942,0.231884057971014,0.463768115942029,0.231884057971014
"5",0.222222222222222,0.123809523809524,0.073015873015873,0.0793650793650794,0.0888888888888889,0.0984126984126984,0.193650793650794,0.120634920634921,0.628099173553719,0.132231404958678,0.190082644628099,0.0495867768595041
"6",0.112627986348123,0.0102389078498294,0.0511945392491468,0.0887372013651877,0.0238907849829352,0.276450511945392,0.221843003412969,0.215017064846416,0.225255972696246,0.266211604095563,0.218430034129693,0.290102389078498
"7",0.157303370786517,0.0449438202247191,0.329588014981273,0.0861423220973783,0.0224719101123595,0.202247191011236,0.0262172284644195,0.131086142322097,0.0547945205479452,0.452054794520548,0.438356164383562,0.0547945205479452
"8",0.164904862579281,0.128964059196617,0.0951374207188161,0.158562367864693,0.0422832980972516,0.109936575052854,0.133192389006342,0.167019027484144,0.17816091954023,0.137931034482759,0.454022988505747,0.229885057471264
"9",0.00320512820512821,0.00641025641025641,0.205128205128205,0.137820512820513,0.0929487179487179,0.282051282051282,0.0128205128205128,0.259615384615385,0.356223175965665,0.11587982832618,0.244635193133047,0.283261802575107
"10",0.133651551312649,0.162291169451074,0.0381861575178998,0.140811455847255,0.186157517899761,0.081145584725537,0.0620525059665871,0.195704057279236,0.433823529411765,0.0147058823529412,0.0294117647058824,0.522058823529412
"11",0.138297872340426,0.0452127659574468,0.162234042553191,0.231382978723404,0.143617021276596,0.138297872340426,0.109042553191489,0.0319148936170213,0.394160583941606,0.306569343065693,0.0510948905109489,0.248175182481752
"12",0.175903614457831,0.185542168674699,0.0144578313253012,0.202409638554217,0.12289156626506,0.0987951807228915,0.091566265060241,0.108433734939759,0.408,0.104,0.384,0.104
"13",0.0117647058823529,0.0823529411764706,0.276470588235294,0.147058823529412,0.241176470588235,0.0882352941176471,0.123529411764706,0.0294117647058824,0.230769230769231,0.173076923076923,0.442307692307692,0.153846153846154
"14",0.258389261744966,0.224832214765101,0.0738255033557047,0.0302013422818792,0.184563758389262,0.194630872483221,0.00671140939597315,0.0268456375838926,0.34375,0.0234375,0.0390625,0.59375
"15",0.0195530726256983,0.198324022346369,0.0167597765363128,0.181564245810056,0.175977653631285,0.122905027932961,0.0754189944134078,0.209497206703911,0.274193548387097,0.32258064516129,0.189516129032258,0.213709677419355
"16",0.134185303514377,0.0830670926517572,0.0447284345047923,0.287539936102236,0.0990415335463259,0.0638977635782748,0.236421725239617,0.0511182108626198,0.323275862068966,0.28448275862069,0.267241379310345,0.125
"17",0.0847457627118644,0.208232445520581,0.205811138014528,0.0314769975786925,0.176755447941889,0.179176755447942,0.00484261501210654,0.108958837772397,0.202614379084967,0.509803921568627,0.0718954248366013,0.215686274509804
